cohort_month,0,1,2,3,4,5,6
2023-01,1.0,0.566,0.576,0.568,0.568,0.547,0.374
2023-02,1.0,0.61,0.56,0.558,0.558,0.545,0.327
2023-03,1.0,0.549,0.565,0.574,0.535,0.586,0.307
2023-04,1.0,0.587,0.55,0.572,0.57,0.584,0.311
2023-05,1.0,0.514,0.545,0.568,0.545,0.538,0.322
2023-06,1.0,0.604,0.576,0.573,0.576,0.597,0.298
2023-07,1.0,0.577,0.552,0.566,0.568,0.575,0.31
2023-08,1.0,0.584,0.6,0.602,0.597,0.613,0.299
2023-09,1.0,0.538,0.567,0.564,0.521,0.531,0.3
2023-10,1.0,0.545,0.522,0.55,0.58,0.547,0.289
2023-11,1.0,0.549,0.588,0.522,0.559,0.551,0.307
2023-12,1.0,0.606,0.58,0.601,0.577,0.591,0.325
